1,200
1,300
1,300
1,200
1,100
2,200
1,500
1,700
1,400
1,900
1,200
2,100
1,0
1,0
2,0
1,0
1,300
1,100
1,0
2,0
3,200
1,0
1,700
2,100
1,100
1,200
2,400
1,0
2,100
3,100
4,200
1,0
1,200
1,0
1,0
1,0
2,600
3,800
4,500
5,900
6,200
7,200
8,400
9,500
1,100
2,200
3,0
4,100
5,100
6,100
7,100
8,0
9,0
10,200
11,200
1,1600
2,1700
3,1300
4,2700
5,1100
6,1900
7,700
8,1500
9,1000
10,1200
11,2000
12,1100
13,1300
14,1200
15,1700
16,1400
17,800
18,1700
19,3000
20,1000
21,1300
22,1200
23,800
24,1200
25,1400
26,3500
27,1300
28,1900
29,800
30,3200
31,800
32,1500
33,1100
34,700
35,1100
36,400
37,1500
38,1800
39,800
40,600
41,2300
42,1000
43,1000
44,1300
45,2300
46,1700
47,1200
48,1000
49,1400
50,1300
51,800
52,1700
53,800
54,1400
55,1300
56,900
57,2000
58,1900
59,2700
60,2600
61,1700
62,1000
63,1600
64,2000
65,1900
66,2000
67,1400
68,600
69,1200
70,1000
71,2400
72,1900
73,1100
74,1800
75,1700
76,2000
77,1800
78,1800
79,2000
80,1600
81,1100
82,1100
83,1100
84,600
85,1700
86,2300
87,1200
88,1200
89,1300
90,1100
91,1900
92,1300
93,1900
94,1600
95,900
96,700
97,600
98,2400
99,1300
100,400
101,1200
102,1200
103,1100
104,4100
105,2300
106,500
107,900
108,600
109,1400
110,1000
111,2100
112,900
113,1200
114,1000
115,1100
116,1600
117,2000
118,1900
119,600
120,1100
121,1000
122,1300
123,1700
124,1500
125,600
126,1400
127,1000
128,500
129,2100
130,1300
131,2300
132,1000
133,1800
134,1600
135,3100
136,3500
137,2400
138,1800
139,400
140,1600
141,2700
142,2100
143,2400
144,1600
145,2000
146,2400
147,2500
148,500
149,800
150,1400
151,1500
152,1300
153,1100
154,1600
155,2600
156,1500
157,1300
158,2700
159,1700
160,1500
161,600
162,1700
163,2900
164,2200
165,1600
166,1600
167,2100
168,2600
169,1200
170,900
171,2400
172,2500
173,1100
174,500
175,2100
176,2800
177,2300
178,1200
179,2700
180,1800
181,1100
182,1700
183,2500
184,1200
185,900
186,1800
187,3200
188,2100
189,2500
190,1000
191,1400
192,2200
193,1800
194,700
195,1300
196,700
197,1100
198,2800
199,2800
200,1700
201,1300
202,2300
203,1400
204,300
205,1800
206,1300
207,1300
208,1400
209,1700
210,2300
211,2600
212,1000
213,1700
214,700
215,700
216,1600
217,1300
218,1400
219,300
220,1800
221,1600
222,1700
223,1600
224,2400
225,2700
226,500
227,2200
228,2700
229,1100
230,3100
231,600
232,1200
233,1900
234,600
235,1900
236,1000
237,1300
238,1700
239,700
240,2900
241,800
242,800
243,1800
244,1400
245,1600
246,1100
247,1900
248,2300
249,4800
250,200
251,500
252,1700
253,2700
254,1500
255,1500
256,3500
257,2800
258,1200
259,2200
260,1900
261,2200
262,1200
263,900
264,1200
265,4900
266,800
267,800
268,800
269,2400
270,1000
271,1000
272,1900
273,500
274,500
275,1200
276,1400
277,900
278,800
279,1800
280,2700
281,1800
282,1500
283,1500
284,1100
285,2200
286,1200
287,2100
288,1700
289,1400
290,1000
291,1400
292,200
293,2800
294,1800
295,2000
296,2000
297,1500
298,1200
299,800
300,1900
301,2300
302,1400
303,1000
304,800
305,2400
306,700
307,900
308,2100
309,900
310,400
311,1500
312,1800
313,800
314,1600
315,4100
316,1300
317,1400
318,1400
319,1600
320,2500
321,1000
322,2000
323,1500
324,1200
325,900
326,2300
327,400
328,600
329,1700
330,1600
331,1000
332,800
333,1100
334,2800
335,1700
336,2400
337,1500
338,1600
339,1300
340,3600
341,2200
342,2500
343,2000
344,1200
345,1400
346,1700
347,2800
348,900
349,1500
350,2600
351,1200
352,800
353,1300
354,1300
355,2200
356,1300
357,900
358,900
359,800
360,1500
361,1100
362,1600
363,2000
364,700
365,1400
366,600
367,1700
368,1600
369,1000
370,1900
371,2600
372,1100
373,1900
374,800
375,2100
376,800
377,900
378,500
379,1700
380,2000
381,1300
382,900
383,2600
384,700
385,1300
386,1200
387,3200
388,1600
389,1800
390,1700
391,2100
392,1700
393,3200
394,1400
395,700
396,1600
397,600
398,1200
399,1100
400,2500
401,2300
402,900
403,1300
404,4300
405,800
406,1500
407,1000
408,600
409,1400
410,1500
411,1400
412,700
413,900
1,0
1,600
1,100
2,8700
3,4100
4,1600
5,1400
6,1300
7,3100
1,100
2,300
1,200
1,200
2,0
3,100
4,100
1,100
2,100
1,0
1,100
1,300
2,200
3,0
4,0
5,100
6,0
1,100
1,0
1,0
2,0
1,200
2,100
1,2500
2,2200
3,3600
4,3600
5,2200
6,7700
7,1100
8,3700
9,4700
10,2000
